t,pwr
2768.3,68.89000000000023
2768.4,68.90710743801654
2768.5,68.85186991869915
2768.6,68.51230000000031
2768.7,67.82730000000032
2768.8,67.69526315789672
2768.9,68.3268421052637
2769.0,68.79017391304343
2769.1,68.88433070866141
2769.2,68.85283464566929
2769.3,68.67098360655713
2769.4,68.63280991735535
2769.5,68.69721311475394
2769.6,68.74310344827602
2769.7,68.64391304347839
2769.8,68.58304347826066
2769.9,67.8890909090889
2770.0,67.68750000000117
2770.1,68.6066101694916
2770.2,68.57271186440687
2770.3,68.6340000000002
2770.4,68.60617886178851
2770.5,68.55387096774194
2770.6,68.26655172414004
2770.7,67.6657627118615
2770.8,68.564067796611
2770.9,68.64173913043487
2771.0,68.51617391304353
2771.1,68.4437704918033
2771.2,68.44491525423726
2771.3,68.49063492063512
2771.4,68.57
2771.5,68.5782644628099
2771.6,68.41024793388438
2771.7,68.39016129032242
2771.8,68.467094017094
2771.9,68.46136000000001
2772.0,68.46936000000001
2772.1,68.35959999999987
2772.2,68.32
2772.3,68.37438016528944
2772.4,68.40885245901593
2772.5,68.2210344827586
2772.6,68.24689655172409
2772.7,68.26517241379305
2772.8,68.2084615384613
2772.9,68.23991525423742
2773.0,68.30483606557382
2773.1,68.26871794871796
2773.2,68.26017094017098
2773.3,68.13749999999995
2773.4,68.21758620689653
2773.5,68.21017543859661
2773.6,68.13658536585378
2773.7,68.12499999999966
2773.8,68.22165289256202
2773.9,68.25471074380164
2774.0,68.18881355932214
2774.1,68.18869565217388
2774.2,68.21
2774.3,68.22819672131155
2774.4,68.23313559322062
2774.5,67.98737288135632
2774.6,68.16623999999952
2774.7,68.16098360655758
2774.8,68.09540983606546
2774.9,68.06
2775.0,68.06295081967207
2775.1,68.11213114754094
2775.2,68.05538461538485
2775.3,68.13880341880368
2775.4,68.1479661016946
2775.5,68.05273504273505
2775.6,68.0737499999999
2775.7,68.16541666666656
2775.8,68.0492372881352
2775.9,68.02652542372884
2776.0,67.96661157024778
2776.1,67.91277310924369
2776.2,67.97381355932166
2776.3,68.1476612903221
2776.4,67.91379032258
2776.5,67.82709401709397
2776.6,67.85838709677405
2776.7,67.90712000000003
2776.8,67.8905982905983
2776.9,67.8051282051281
2777.0,67.98951612903197
2777.1,67.9361788617887
2777.2,67.83365217391307
2777.3,67.82333333333341
2777.4,67.85896551724136
2777.5,67.8503448275862
2777.6,67.90008695652163
2777.7,67.89672131147545
2777.8,67.85499999999986
2777.9,67.83078947368425
2778.0,67.8406896551724
2778.1,67.81
2778.2,67.81
2778.3,67.84719008264466
2778.4,67.73222222222208
2778.5,67.68456140350898
2778.6,67.82638655462192
2778.7,67.6595652173914
2778.8,67.6160869565216
2778.9,67.75214876033087
2779.0,67.71956521739142
2779.1,67.74210526315737
2779.2,67.86
2779.3,67.8466666666666
2779.4,67.76333333333326
2779.5,67.6419672131146
2779.6,67.59180327868854
2779.7,67.61382113821116
2779.8,67.66
2779.9,67.65078740157485
2780.0,67.5799212598426
2780.1,67.57
2780.2,67.59098360655736
2780.3,67.61
2780.4,67.61650406504064
2780.5,67.64902439024385
2780.6,67.61766666666672
2780.7,67.70788135593196
2780.8,67.68370689655146
2780.9,67.59529914529912
2781.0,67.58966386554614
2781.1,67.65941666666666
2781.2,67.65108333333336
2781.3,67.44319672131124
2781.4,67.4910483870971
2781.5,67.61
2781.6,67.6182644628099
2781.7,67.65958677685941
2781.8,67.61942622950808
2781.9,67.61
2782.0,67.56824
2782.1,67.54395161290319
2782.2,67.60776859504132
2782.3,67.5829752066115
2782.4,67.4446153846153
2782.5,67.34584745762716
