t,pwr
63.2,308.0120792079208
63.3,308.0122
63.4,308.0592
63.5,308.03319999999997
63.6,308.01732673267327
63.7,308.0185
63.8,307.998
63.9,308.0425
64.0,308.0388118811881
64.1,308.02639999999997
64.2,308.0644
64.3,308.0568
64.4,308.06208712871285
64.5,308.0942435643565
64.6,308.0742
64.7,308.05719999999997
64.8,308.0456
64.9,308.0086425742574
65.0,308.0625168316832
65.1,308.09900000000005
65.2,308.0952
65.3,308.13840000000005
65.4,308.1084158415842
65.5,308.0869
65.6,308.1605
65.7,308.1531
65.8,308.1123
65.9,308.11765940594057
66.0,308.092
66.1,308.084
66.2,308.062
66.3,308.048
66.4,308.1097227722772
66.5,308.10490000000004
66.6,308.0851
66.7,308.1439
66.8,308.1229702970297
66.9,308.0952
67.0,308.1086
67.1,308.071
67.2,308.0704
67.3,308.0822257425742
67.4,308.0422
67.5,308.0319
67.6,307.96479999999997
67.7,308.0233
67.8,308.05435643564357
67.9,308.0208
68.0,308.0508
68.1,308.05559999999997
68.2,308.03712871287127
68.3,308.04650000000004
68.4,308.033
68.5,308.048
68.6,308.072
68.7,308.0269306930693
68.8,308.057
68.9,308.0662
69.0,308.0334653465346
69.1,308.0666
69.2,308.08
69.3,308.0701
69.4,308.0665
69.5,308.09019801980196
69.6,308.0796
69.7,308.07439999999997
69.8,308.02630495049505
69.9,308.04916336633664
70.0,308.04830000000004
70.1,308.0186
70.2,308.0692386138614
70.3,308.0842079207921
70.4,308.073
70.5,308.077
70.6,308.0759405940594
70.7,308.1016
70.8,308.1126
70.9,308.08148514851484
71.0,308.1237861386138
71.1,308.1264
71.2,308.0568
71.3,308.10554455445543
71.4,308.1092
71.5,308.0989
71.6,308.1581
71.7,308.1827
71.8,308.1954
71.9,308.20732673267327
72.0,308.19219999999996
72.1,308.1882
72.2,308.2114
72.3,308.14287128712874
72.4,308.185
72.5,308.175
72.6,308.105
72.7,308.12
72.8,308.1175247524752
72.9,308.1172
73.0,308.1424
73.1,308.1357425742574
73.2,308.10609999999997
73.3,308.1416
73.4,308.0890861386139
73.5,308.1289544554455
73.6,308.1402
73.7,308.0875782178218
73.8,308.14354356435643
73.9,308.1158
74.0,308.11260000000004
74.1,308.1620792079208
74.2,308.158
74.3,308.122
74.4,308.15415841584155
74.5,308.09569999999997
74.6,308.1219
74.7,308.1015376237624
74.8,307.9968495049505
74.9,308.079
75.0,308.1056
75.1,308.0489108910891
75.2,308.0934
75.3,308.09299999999996
75.4,308.0268316831683
75.5,308.0956
75.6,308.0184
75.7,308.026
75.8,308.086
75.9,307.95841584158416
76.0,307.94399999999996
76.1,307.90099999999995
76.2,307.85450000000003
76.3,307.8905
76.4,307.93811881188117
76.5,307.8798
76.6,307.94
76.7,307.93168316831685
76.8,307.89300000000003
76.9,307.9631
77.0,307.8525742574258
77.1,307.86879999999996
77.2,307.84799999999996
77.3,307.7648
77.4,307.8
77.5,307.78924752475245
77.6,307.71659999999997
77.7,307.77000000000004
77.8,307.7645
77.9,307.7308910891089
78.0,307.81600000000003
78.1,307.786
78.2,307.845
78.3,307.883
78.4,307.8279207920792
78.5,307.9009
78.6,307.9028
78.7,307.8336
78.8,307.8726732673267
78.9,307.8976
79.0,307.8732
79.1,307.9116
79.2,307.9284
79.3,307.9131683168317
79.4,307.9465
79.5,307.90762376237626
79.6,308.0136
79.7,308.07000000000005
79.8,308.07
79.9,308.07050000000004
80.0,308.0775
80.1,308.034
80.2,308.11049504950495
80.3,308.11920000000003
80.4,308.1004
80.5,308.1088118811881
80.6,308.08119999999997
80.7,308.1194
80.8,308.0988
80.9,308.05970297029705
81.0,308.0502
81.1,308.0588
81.2,308.0008
81.3,308.0392
81.4,308.00120000000004
81.5,308.060198019802
81.6,308.0696
81.7,308.0307
81.8,308.0999
81.9,308.0896
82.0,308.05069306930693
82.1,308.12
82.2,308.12
82.3,308.08000000000004
82.4,308.10940594059406
82.5,308.080300990099
82.6,308.0998
82.7,308.09999999999997
82.8,308.0019801980198
82.9,308.0784
83.0,308.0898
83.1,308.0508
83.2,308.07910891089114
83.3,308.07030000000003
83.4,308.0312
83.5,308.0688
83.6,308.03139207920793
83.7,308.04920792079207
83.8,308.098
83.9,307.9848
84.0,308.0088
84.1,307.9812
84.2,307.9608
84.3,308.0656
84.4,308.0028
84.5,307.93346534653466
84.6,307.987
84.7,307.99
84.8,307.9995
84.9,308.0285
85.0,307.9635
85.1,308.036
85.2,308.097
85.3,308.005
85.4,308.1034653465347
85.5,308.1288
85.6,308.03702376237624
85.7,308.07651386138616
85.8,308.0707
85.9,308.0235
86.0,308.0944
86.1,308.0163
86.2,308.0193
86.3,308.0107
86.4,307.890297029703
86.5,307.9812
86.6,308.0176
86.7,307.974
86.8,308.0528
86.9,308.06
87.0,308.014
87.1,308.07439999999997
87.2,308.0254376237624
87.3,308.0746
87.4,308.08910000000003
87.5,307.9717
87.6,308.0419
87.7,308.0773
87.8,307.99891089108917
87.9,308.098
88.0,308.128
88.1,308.094
88.2,308.144
88.3,308.132
88.4,308.13
88.5,308.18399999999997
88.6,308.10900000000004
88.7,308.1267326732673
88.8,308.219
88.9,308.11429999999996
89.0,308.15340000000003
89.1,308.16898811881185
89.2,308.1436118811881
89.3,308.2192
89.4,308.1948
89.5,308.1988
89.6,308.2264
89.7,308.142
89.8,308.13
89.9,308.1475128712871
90.0,308.04560000000004
90.1,308.0909
90.2,308.0913
90.3,308.0117
90.4,308.05219999999997
90.5,308.0513861386139
90.6,308.0327722772277
90.7,308.073
90.8,308.0284
90.9,308.0802
91.0,308.08148514851484
91.1,307.9865
91.2,308.0125
91.3,308.0284158415842
91.4,307.9964475247525
91.5,308.032
91.6,308.0148
91.7,307.98488316831686
91.8,308.0049504950495
91.9,307.9519
92.0,308.0147
92.1,308.0964
92.2,308.0278217821782
92.3,308.0592
92.4,308.0454
92.5,307.9908
92.6,308.021
92.7,308.01376237623765
92.8,307.9695
92.9,307.97540588235296
93.0,307.94856470588235
93.1,307.9321
93.2,307.9221
93.3,307.82621683168315
93.4,307.83897821782176
93.5,307.8422
93.6,307.7776
93.7,307.80633663366336
93.8,307.7584
93.9,307.74
94.0,307.7092
94.1,307.63138613861383
94.2,307.6708
94.3,307.7356
94.4,307.6816
94.5,307.698
94.6,307.75509900990096
94.7,307.7025
94.8,307.755
94.9,307.75
95.0,307.74
95.1,307.76959999999997
95.2,307.7287128712871
95.3,307.7611
95.4,307.8384
95.5,307.8021782178218
95.6,307.852
95.7,307.9088
95.8,307.848
95.9,307.9269306930693
96.0,310.06450000000007
96.1,315.81899999999945
96.2,323.3316386138614
96.3,333.50080198019776
96.4,346.8910000000002
96.5,362.01899999999955
96.6,377.0059999999996
96.7,392.5568316831696
96.8,411.01779999999934
96.9,425.91130000000084
97.0,437.8049999999996
97.1,447.3135643564347
97.2,455.14960000000013
97.3,461.11680000000007
97.4,464.20080000000013
97.5,464.64919999999995
97.6,464.59039603960395
97.7,464.5564
97.8,464.59029999999996
97.9,464.6401
98.0,464.5763
98.1,464.6262376237624
98.2,464.6766
98.3,464.713
98.4,464.89500000000004
98.5,464.94072277227724
98.6,464.972
98.7,465.039
98.8,465.02750000000003
98.9,465.06792079207924
99.0,465.1512
99.1,465.1288
99.2,465.13801980198025
99.3,465.1852
99.4,465.1244
99.5,465.28159999999997
99.6,465.337
99.7,465.349900990099
99.8,465.4234
99.9,465.3818
100.0,465.3586
100.1,465.4072
100.2,465.38702970297027
100.3,465.604
100.4,465.83320000000003
100.5,465.6726
100.6,465.6376
100.7,465.6335643564356
100.8,465.626
100.9,465.74
101.0,465.76435643564355
101.1,465.7577
101.2,465.79949999999997
101.3,465.5722
101.4,465.38831683168314
101.5,465.3568
101.6,465.3284
101.7,465.581
101.8,465.77
101.9,465.7586
102.0,465.7329
102.1,465.68010000000004
102.2,465.7013
102.3,465.7343564356436
102.4,465.6852
102.5,465.902
102.6,466.0944
102.7,465.8626732673267
102.8,465.65250000000003
102.9,465.586
103.0,465.605
103.1,465.63366336633663
103.2,465.6902
103.3,465.858
103.4,465.9608
103.5,465.781
103.6,465.6467326732673
103.7,465.6753
103.8,465.6906
103.9,465.7265
104.0,465.7394
104.1,465.7617475247525
104.2,465.6903920792079
104.3,465.5116
104.4,465.456
104.5,465.4228
104.6,465.43780594059405
104.7,465.51544554455444
104.8,465.5045
104.9,465.4749
105.0,465.480099009901
105.1,465.45
105.2,465.44
105.3,465.47
105.4,465.50465346534656
105.5,465.62330000000003
105.6,465.6904
105.7,465.5429881188119
105.8,465.4677544554455
105.9,465.5108
106.0,465.4948
106.1,465.51919999999996
106.2,465.5067326732673
106.3,465.6298
106.4,465.7677
106.5,465.6354
106.6,465.5917
106.7,465.64064653465346
106.8,465.6028277227723
106.9,465.616
107.0,465.6654
107.1,465.64160000000004
107.2,465.6568
107.3,465.5346277227723
107.4,465.3488910891089
107.5,465.3915
107.6,465.3535
107.7,465.5525
107.8,465.8961881188119
107.9,465.8357227722772
108.0,465.8328
108.1,465.92199999999997
108.2,465.919504950495
108.3,465.9101
108.4,465.9285
108.5,466.0849
108.6,466.3945
108.7,466.2032673267326
108.8,465.85519999999997
108.9,465.89840000000004
109.0,465.85540000000003
109.1,465.7883168316832
109.2,465.8041
109.3,465.7854
109.4,466.0042
109.5,466.1873267326733
109.6,465.892
109.7,465.926
109.8,465.96871287128715
109.9,465.86
110.0,465.8951
110.1,465.9071
110.2,465.8517
110.3,465.86621584158416
110.4,465.65589900990096
110.5,465.2654
110.6,465.14099999999996
110.7,465.0568
110.8,465.20702970297026
110.9,465.5778
111.0,465.5141
111.1,465.4885
111.2,465.4904
111.3,465.45465346534655
111.4,465.4944
111.5,465.4948
111.6,465.5544
111.7,465.7472
111.8,465.5283168316831
111.9,465.1555
112.0,465.2295
112.1,465.2169306930693
112.2,465.2436
112.3,465.423
112.4,465.7772277227723
112.5,465.9131
112.6,465.8874
